agent,beam_pruned_move_count,beam_widths,beam_widths_used,branch_limit,candidate_evaluation_time_sec,candidate_sort_time_sec,category,completed_root_moves,config_id,cutoff_count,depth,depth_after,depth_before,depth_change_reason,depth_changed,effective_depth,elapsed_ratio,elapsed_time_sec,end_id,initial_depth,leaf_evaluation_time_sec,leaf_evaluations,legal_edge_count,legal_move_generation_time_sec,max_depth,nodes_searched,null_window_searches,ordering_evaluations,other_time_sec,position_id,profile,pruned_move_count,recovery_streak,recursive_ordering_time_sec,recursive_other_time_sec,remaining_word_count,research_count,research_rate,risk_level,root_candidate_count,root_completion_rate,root_ordering_time_sec,score,seed,selected_edge,selected_root_candidate_count,sequence_index,split,start_id,target_elapsed_ratio,target_time_sec,timed_out,turn,max_depth_fixed_move_agreement,max_depth_fixed_score_agreement
alpha_beta,0,,{},8,0.05714361113496125,0.00453340751118958,early,8,alpha_beta_d5_b8__fixed,275,5,5,5,adaptive_disabled,False,5,0.2915000421926379,0.2915000421926379,20,5,0.21302422950975597,1764,3622,0.001319624949246645,5,2268,0,22664,5.0333328545093536e-05,seed0_early_t0,fixed,20396,0,0.05170834856107831,0.015159380855038762,50000,0,0.0,normal,3622,1.0,0.01023812498897314,2361.0,0,20→20,8,0,tuning,20,0.2915000421926379,1.0,False,0,True,True
alpha_beta,0,,{},8,0.04769750218838453,0.004182769218459725,few_legal,8,alpha_beta_d5_b8__fixed,299,5,5,5,adaptive_disabled,False,5,0.33454641606658697,0.33454641606658697,20,5,0.2631584939081222,1936,27,6.250105798244476e-06,5,2475,0,20037,2.7624191716313362e-05,seed0_few_legal_t8,fixed,17562,0,0.0520416225772351,0.019222217379137874,76,0,0.0,normal,27,1.0,9.020790457725525e-05,2341.0,0,20→20,8,1,tuning,20,0.33454641606658697,1.0,False,8,True,True
alpha_beta,0,,{},8,0.04394064634107053,0.0037520728074014187,early_pruning,8,alpha_beta_d5_b8__fixed,278,5,5,5,adaptive_disabled,False,5,0.25933583406731486,0.25933583406731486,20,5,0.19732021330855787,1797,58,9.999843314290047e-06,5,2299,0,18702,1.7917249351739883e-05,seed0_early_pruning_t17,fixed,16403,0,0.04773312387987971,0.014089787844568491,490,0,0.0,normal,58,1.0,0.00016479194164276123,2301.0,0,28→20,8,2,tuning,28,0.25933583406731486,1.0,False,17,True,True
alpha_beta,0,,{},8,0.04642512649297714,0.0038671635556966066,middle,8,alpha_beta_d5_b8__fixed,304,5,5,5,adaptive_disabled,False,5,0.254581332905218,0.254581332905218,46,5,0.19028489291667938,1764,28,5.416804924607277e-06,5,2269,0,19569,1.7248792573809624e-05,seed0_middle_t27,fixed,17300,0,0.05041559389792383,0.013768846401944757,111,0,0.0,normal,28,1.0,8.933409117162228e-05,2231.0,0,63→46,8,3,tuning,63,0.254581332905218,1.0,False,27,True,True
alpha_beta,0,,{},8,0.06319182692095637,0.00526714907027781,late,8,alpha_beta_d5_b8__fixed,411,5,5,5,adaptive_disabled,False,5,0.3647030829451978,0.3647030829451978,63,5,0.2763959795702249,2571,53,9.500188753008842e-06,5,3270,0,26754,1.6624806448817253e-05,seed0_late_t49,fixed,23484,0,0.06858303630724549,0.019545525079593062,790,0,0.0,normal,53,1.0,0.00015241699293255806,2191.0,0,11→63,8,4,tuning,11,0.3647030829451978,1.0,False,49,True,True
alpha_beta,0,,{},8,0.052240712800994515,0.00392292789183557,early,8,alpha_beta_d5_b8__fixed,265,5,5,5,adaptive_disabled,False,5,0.24702608305960894,0.24702608305960894,20,5,0.17739110975526273,1609,3603,0.00035316706635057926,5,2086,0,22009,2.9916176572442055e-05,seed1_early_t0,fixed,19923,0,0.04696296667680144,0.012902507558465004,50000,0,0.0,normal,3603,1.0,0.009386415826156735,2349.0,1,20→20,8,0,tuning,20,0.24702608305960894,1.0,False,0,True,True
alpha_beta,0,,{},8,0.045278124045580626,0.0036887340247631073,early_pruning,8,alpha_beta_d5_b8__fixed,307,5,5,5,adaptive_disabled,False,5,0.2168760420754552,0.2168760420754552,24,5,0.15588206658139825,1485,63,8.874805644154549e-06,5,1972,0,19248,1.6543082892894745e-05,seed1_early_pruning_t75,fixed,17276,0,0.04898820165544748,0.011814022902399302,771,0,0.0,normal,63,1.0,0.0001663330476731062,2249.0,1,2→24,8,1,tuning,2,0.2168760420754552,1.0,False,75,True,True
alpha_beta,0,,{},8,0.04263327526859939,0.0035819881595671177,few_legal,8,alpha_beta_d5_b8__fixed,261,5,5,5,adaptive_disabled,False,5,0.25970075000077486,0.25970075000077486,20,5,0.1993373187724501,1827,23,4.833098500967026e-06,5,2317,0,18251,1.5958910807967186e-05,seed1_few_legal_t115,fixed,15934,0,0.0463337900582701,0.013930141227319837,69,0,0.0,normal,23,1.0,7.870793342590332e-05,2229.0,1,20→20,8,2,tuning,20,0.25970075000077486,1.0,False,115,True,True
alpha_beta,0,,{},8,0.04552878183312714,0.003816023236140609,middle,8,alpha_beta_d5_b8__fixed,273,5,5,5,adaptive_disabled,False,5,0.2501450418494642,0.2501450418494642,35,5,0.18693724437616765,1669,64,2.0249979570508003e-05,5,2148,0,18264,2.60830856859684e-05,seed1_middle_t120,fixed,16116,0,0.04932001885026693,0.013595611555501819,881,0,0.0,normal,64,1.0,0.0002458340022712946,2229.0,1,9→35,8,3,tuning,9,0.2501450418494642,1.0,False,120,True,True
alpha_beta,0,,{},8,0.044550149235874414,0.0037921529728919268,late,8,alpha_beta_d5_b8__fixed,271,5,5,5,adaptive_disabled,False,5,0.26639429200440645,0.26639429200440645,35,5,0.204000681405887,1878,41,6.834045052528381e-06,5,2380,0,18844,1.6331905499100685e-05,seed1_late_t236,fixed,16464,0,0.04841713770292699,0.013826597947627306,90,0,0.0,normal,41,1.0,0.00012670899741351604,2229.0,1,35→35,8,4,tuning,35,0.26639429200440645,1.0,False,236,True,True
