matchup,first_agent,second_agent,match_id,dict_size,random_seed,winner,loss_reason,turn,player,agent,required_start_char,edge_index,start_id,end_id,edge_count_before,edge_count_after,previous_word,word,start_char,end_char,next_required_start_char,elapsed_time_sec,timed_out,score,effective_depth,next_depth,adaptive_depth,pruned_count,evaluated_moves,chain_so_far
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,1,first,greedy,ANY,1380,20,20,2,1,,,ず,ず,ず,0.005895,False,-1557.0,,,,,3622,ず→ず
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,2,second,alpha_beta,ず,1423,20,63,1,0,,,ず,る,る,0.190742,False,-1693.0,4,4,True,518,20,ず→ず -> ず→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,3,first,greedy,る,4347,63,63,4,3,,,る,る,る,4e-05,False,-2479.0,,,,,28,ず→ず -> ず→る -> る→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,4,second,alpha_beta,る,4347,63,63,3,2,,,る,る,る,0.200014,True,-1663.0,4,3,True,624,16,ず→ず -> ず→る -> る→る -> る→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,5,first,greedy,る,4347,63,63,2,1,,,る,る,る,4.1e-05,False,-2433.0,,,,,28,ず→ず -> ず→る -> る→る -> る→る -> る→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,6,second,alpha_beta,る,4347,63,63,1,0,,,る,る,る,0.079679,False,2407.0,3,3,True,37,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,7,first,greedy,る,4336,63,52,1,0,,,る,ぽ,ぽ,3.9e-05,False,-3123.0,,,,,27,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,8,second,alpha_beta,ぽ,3599,52,63,10,9,,,ぽ,る,る,0.083129,False,5024.0,3,3,True,56,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,9,first,greedy,る,4330,63,46,2,1,,,る,ぷ,ぷ,3.7e-05,False,-5755.0,,,,,26,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ
greedy vs alpha_beta,greedy,alpha_beta,D50000_seed0_greedy_vs_alpha_beta_0,50000,0,second,ended_with_n,10,second,alpha_beta,ぷ,3191,46,63,22,21,,,ぷ,る,る,0.078958,False,5032.0,3,4,True,55,20,ず→ず -> ず→る -> る→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る
