matchup,first_agent,second_agent,match_id,dict_size,random_seed,winner,loss_reason,turn,player,agent,required_start_char,previous_word,word,start_char,end_char,next_required_start_char,elapsed_time_sec,timed_out,score,effective_depth,next_depth,adaptive_depth,pruned_count,evaluated_moves,chain_so_far
random vs greedy,random,greedy,D1000_seed0_random_vs_greedy_0,1000,0,second,no_legal_move,1,first,random,ANY,,ないない,な,い,い,4.9e-05,False,0.0,,,,,,ないない
random vs greedy,random,greedy,D1000_seed0_random_vs_greedy_0,1000,0,second,no_legal_move,2,second,greedy,い,ないない,いくら,い,ら,ら,4.5e-05,False,-23.0,,,,,29,ないない -> いくら
random vs greedy,random,greedy,D1000_seed0_random_vs_greedy_0,1000,0,second,no_legal_move,3,first,random,ら,いくら,らんぐ,ら,ぐ,ぐ,2e-06,False,0.0,,,,,,ないない -> いくら -> らんぐ
random vs greedy,random,greedy,D1000_seed0_random_vs_greedy_0,1000,0,second,no_legal_move,4,second,greedy,ぐ,らんぐ,ぐるうぷほおむ,ぐ,む,む,5e-06,False,-150.5,,,,,4,ないない -> いくら -> らんぐ -> ぐるうぷほおむ
random vs greedy,random,greedy,D1000_seed0_random_vs_greedy_0,1000,0,second,no_legal_move,5,first,random,む,ぐるうぷほおむ,むね,む,ね,ね,1e-06,False,0.0,,,,,,ないない -> いくら -> らんぐ -> ぐるうぷほおむ -> むね
random vs greedy,random,greedy,D1000_seed0_random_vs_greedy_0,1000,0,second,no_legal_move,6,second,greedy,ね,むね,ねぼける,ね,る,る,2.1e-05,False,-92.0,,,,,10,ないない -> いくら -> らんぐ -> ぐるうぷほおむ -> むね -> ねぼける
random vs greedy,random,greedy,D1000_seed0_random_vs_greedy_0,1000,0,second,no_legal_move,7,first,random,る,ねぼける,るり,る,り,り,1e-06,False,0.0,,,,,,ないない -> いくら -> らんぐ -> ぐるうぷほおむ -> むね -> ねぼける -> るり
random vs greedy,random,greedy,D1000_seed0_random_vs_greedy_0,1000,0,second,no_legal_move,8,second,greedy,り,るり,りふれつしゆ,り,ゆ,ゆ,2.5e-05,False,-138.0,,,,,16,ないない -> いくら -> らんぐ -> ぐるうぷほおむ -> むね -> ねぼける -> るり -> りふれつしゆ
random vs greedy,random,greedy,D1000_seed0_random_vs_greedy_0,1000,0,second,no_legal_move,9,first,random,ゆ,りふれつしゆ,ゆうぜい,ゆ,い,い,1e-06,False,0.0,,,,,,ないない -> いくら -> らんぐ -> ぐるうぷほおむ -> むね -> ねぼける -> るり -> りふれつしゆ -> ゆうぜい
random vs greedy,random,greedy,D1000_seed0_random_vs_greedy_0,1000,0,second,no_legal_move,10,second,greedy,い,ゆうぜい,いらいら,い,ら,ら,3.8e-05,False,1000000.0,,,,,28,ないない -> いくら -> らんぐ -> ぐるうぷほおむ -> むね -> ねぼける -> るり -> りふれつしゆ -> ゆうぜい -> いらいら
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,1,first,random,ANY,,ないない,な,い,い,4.9e-05,False,0.0,,,,,,ないない
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,2,second,minimax,い,ないない,いくたび,い,び,び,0.092772,False,114.0,3,3,True,,20,ないない -> いくたび
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,3,first,random,び,いくたび,びくびく,び,く,く,3e-06,False,0.0,,,,,,ないない -> いくたび -> びくびく
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,4,second,minimax,く,びくびく,くちび,く,び,び,0.087046,False,114.0,3,3,True,,19,ないない -> いくたび -> びくびく -> くちび
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,5,first,random,び,くちび,びくとりあ,び,あ,あ,4e-06,False,0.0,,,,,,ないない -> いくたび -> びくびく -> くちび -> びくとりあ
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,6,second,minimax,あ,びくとりあ,あいず,あ,ず,ず,0.108506,False,73.5,3,3,True,,20,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,7,first,random,ず,あいず,ずいじ,ず,じ,じ,3e-06,False,0.0,,,,,,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,8,second,minimax,じ,ずいじ,じゆつご,じ,ご,ご,0.122655,False,46.0,3,3,True,,20,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,9,first,random,ご,じゆつご,ごぶさた,ご,た,た,2e-06,False,0.0,,,,,,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,10,second,minimax,た,ごぶさた,たんだい,た,い,い,0.086659,False,46.0,3,3,True,,19,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,11,first,random,い,たんだい,いしがけ,い,け,け,5e-06,False,0.0,,,,,,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,12,second,minimax,け,いしがけ,けいけんしや,け,や,や,0.083574,False,46.0,3,3,True,,19,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ -> けいけんしや
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,13,first,random,や,けいけんしや,やごう,や,う,う,2e-06,False,0.0,,,,,,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ -> けいけんしや -> やごう
random vs minimax,random,minimax,D1000_seed0_random_vs_minimax_0,1000,0,second,no_legal_move,14,second,minimax,う,やごう,うちこむ,う,む,む,0.109339,False,114.0,3,3,True,,20,ないない -> いくたび -> びくびく -> くちび -> びくとりあ -> あいず -> ずいじ -> じゆつご -> ごぶさた -> たんだい -> いしがけ -> けいけんしや -> やごう -> うちこむ
